timestamp,binance,bitfinex,bithumb,bitmex,bitstamp,bittrex,bybit,coinbase,coincheck,crypto.com,deribit,ftx,gate.io,gemini,hitbtc,huobi,kraken,kucoin,luno,okex,poloniex
2019-01-05T00:00:00Z,224370.79678996,370936.44116827,44678.12072039,233407.31278158,170019.49619327,135140.47482992,1.02781048,895525.91593057,31700.92771561,,9195.07790763,0.00145401,7617.96194251,121742.67909791,90288.87894529,148383.13672716,149000.0581911,693.03328067,19958.03918714,59898.93767729,59340.67768039
2019-01-06T00:00:00Z,224128.86783971,370993.89700493,45395.3844185,233562.42902115,171697.12055554,135099.80360962,1.03166419,895624.75209037,31668.84732527,,9144.22115945,0.00145401,7504.50487452,121884.50404876,90645.72935548,148673.57908042,149968.97531394,678.73136506,19877.34656097,59952.71418112,59510.81211905
2019-01-07T00:00:00Z,222962.07303092,368138.88363709,46199.08878677,234250.77359023,172253.39909545,134898.36125538,1.02815048,895179.89628504,31667.07537422,,9141.36960672,0.00145401,7447.77064877,127600.34268721,90441.71574857,149863.33495968,151575.25967045,614.21410252,19731.05184173,60488.2694458,59752.68653921
2019-01-08T00:00:00Z,226460.86862353,365917.22186222,45746.86197205,234841.98906091,173362.24584065,135468.30413345,1.2779247,895055.97274774,31628.76744582,,9242.06693531,0.00145401,7487.19446822,126899.82785135,89800.6137793,149296.49581091,151390.28724979,657.17566669,19804.84915802,58406.05621799,59972.32245506
2019-01-09T00:00:00Z,226461.43986445,362831.90994071,45296.41159708,234130.6457631,172823.98048857,136544.75261342,1.17084101,895244.14948284,31691.02471436,,9253.12598176,0.00145401,7556.11474303,126871.30131835,90023.20866655,153574.16750722,152950.12072589,651.65795994,19775.57075909,58362.10780188,60066.28828516
2019-01-10T00:00:00Z,226565.92210301,360791.63444417,45106.91356068,238187.48094898,172756.37014324,135666.4152372,4.5321373,895811.10806791,31389.14348898,,9332.39927431,0.00145401,7766.96486368,125059.81522213,90933.74438991,154489.72190583,150089.44233644,734.38672708,19912.16000674,59878.57083836,59541.87975138
2019-01-11T00:00:00Z,227818.67597772,360661.29893992,45523.85297956,237782.71107001,173775.8650251,135524.75808074,1.02755048,895785.56643282,31583.43537768,,9511.85147137,0.00145401,7952.80525965,124793.72848509,90324.91569411,153138.17475765,146276.21295924,796.51976642,20012.17418992,60342.31487076,59322.38512336
2019-01-12T00:00:00Z,226295.80517096,360583.79384955,45710.67990725,238384.29821403,173400.72901251,135734.65543218,1.02876362,895794.64353161,31654.36104971,,9561.57852611,0.00145401,7943.78048406,124940.70587978,90231.85862637,153818.6985074,146554.36311777,800.84232916,19946.10444649,59481.55529327,59089.60159434
2019-01-13T00:00:00Z,224944.19643604,360468.33177339,45716.62530118,239430.67621666,174734.53153983,135490.03611382,1.53734734,895620.08153403,31534.2828572,,9585.80738409,0.00145401,7922.23447666,125851.31005814,90295.28454949,152901.84536956,146661.46844494,803.58881756,19922.08743333,59237.25618115,58854.08645587
2019-01-14T00:00:00Z,225336.27980264,361117.58188988,45882.79063122,239966.9987504,174723.06226733,136802.97878281,1.35496706,895415.67733703,31478.14122255,,9634.07221663,0.00145401,7930.3469525,122738.8822739,90679.89714169,153493.90797904,144856.29106957,690.06749695,19888.97159042,61963.04768339,60571.37941153
2019-01-15T00:00:00Z,228521.18248462,360483.56184034,45605.35428837,240732.92071351,174803.81733153,136921.76586908,6.97085194,895596.44894925,31585.93535894,,9617.01792748,0.00145401,7929.51101252,122306.37987878,90880.56998946,153038.4435394,143823.01785712,710.3606248,19956.92864223,61770.81432186,60663.61139698
2019-01-16T00:00:00Z,231668.6145837,357657.71581529,45551.47508414,240260.7113135,174045.36636449,136878.64688174,8.17050024,896085.60918578,31684.01512959,,9620.7050647,0.00145401,7943.48039761,123104.81370135,90810.85690244,152730.91210734,146211.40971535,709.61801907,20002.5447932,62101.23975121,60626.05094213
2019-01-17T00:00:00Z,233152.88878,356667.69744766,45637.47371331,240047.50841469,173781.0509629,137453.31065753,6.44700837,895341.96511763,31770.07043564,,9541.06660136,0.00145401,7931.49099656,121774.44966641,91158.5415887,153485.40384966,146511.16195111,731.50329663,20028.15236653,62758.67530702,61398.68668396
2019-01-18T00:00:00Z,231714.7417902,354827.36920232,45463.30281716,240716.17560436,173076.21135445,138290.39228835,1.89055305,895476.0824689,31852.29242987,,9570.70460877,0.00145401,7927.9981697,121947.5431938,91517.38335894,154161.03494132,146625.62123166,994.07364701,19934.67411511,62386.1730016,60761.81505071
2019-01-19T00:00:00Z,233672.6565936,353574.14642631,45265.78834286,240913.2513473,173045.89580643,138834.79381731,1.89519839,895512.86138765,31944.52915566,,9317.91709335,0.00145401,7964.5470203,122933.46077366,91256.78639352,152016.17243401,147762.26009527,972.19028678,19886.23949678,61095.17467166,60765.85597078
2019-01-20T00:00:00Z,232655.48908873,355115.57942791,45625.3846757,241721.67449293,173493.21493874,138314.44040362,4.14472907,895836.89048953,31768.28861964,,9296.92374349,0.00145401,7990.48433532,122256.99566977,91116.13933262,153732.75968744,146689.82287677,964.34576353,19906.37041569,60484.19776644,60362.8571394
2019-01-21T00:00:00Z,233758.80044865,351435.4686844,45749.50006808,241295.97254392,173025.33444999,138443.21532475,1.60509057,896256.3795718,31769.93860678,,9310.88766959,0.00145401,7974.82799269,122131.48257677,91561.17618628,154952.19124008,145730.6327816,962.75721063,19891.58651541,60999.54852459,60414.76135329
2019-01-22T00:00:00Z,233364.09995055,349831.27419467,45973.08787366,241694.76003008,172631.12244116,138657.62513914,1.27931304,896742.56916949,31754.51017376,,9378.90557447,0.00145401,8081.62795045,121503.29803698,92976.01409401,156370.55276199,144668.2932352,996.56635743,20044.58690227,60878.43136865,60735.09161887
2019-01-23T00:00:00Z,232843.93590626,349047.79008026,46099.04026136,241358.88125095,173393.81553905,138770.37921189,6.44281555,896724.75909201,31910.30623189,,9394.72647245,0.00145401,8202.56882355,121735.34998606,92927.39486739,156700.65429513,144114.42974076,1088.33305295,20104.65388792,60313.35310646,60689.10375704
2019-01-24T00:00:00Z,232053.61329103,349166.17610604,46313.43730087,241086.54005942,172794.41523687,139546.86142598,1.72914454,897600.37573563,31924.92013895,,9367.21710705,0.00145401,8362.20888907,121395.30701185,92713.00316259,155904.76090983,144452.47917027,199.49161216,20109.15834142,60574.36430187,60917.16854025
2019-01-25T00:00:00Z,231895.16802806,348890.76741491,46520.0029589,240717.38393096,172266.73263776,140033.63693581,1.34379702,895574.07622556,31956.52405873,,9483.15534712,0.00145401,8441.75861747,121236.97912606,93053.73432492,155354.43849095,144762.0075499,149.31632529,20142.82150341,59976.33209671,61745.4750091
2019-01-26T00:00:00Z,232103.57079143,349658.31516512,46501.8519641,238995.77538697,172855.59759411,139732.57511669,1.53146611,895771.28066685,31936.1165386,,9534.83722638,0.00145401,8416.14217522,120672.96096911,92546.41632109,155148.90431802,144578.25502717,125.82462124,20058.3191839,60419.19283257,61783.74832389
2019-01-27T00:00:00Z,232821.62992734,350134.52002092,46377.84198486,241358.41837833,172804.41548715,138765.21745904,2.56793213,895774.49800912,31901.87671929,,9506.28454849,0.00145401,8456.27870544,120625.22952899,92515.07568665,154375.42034771,144369.1212151,202.41817409,20082.01048285,59886.39489498,61700.43961987
2019-01-28T00:00:00Z,232010.93388529,351942.47321257,46605.63183802,244557.99304444,171597.00296857,137949.78464837,5.70311408,896397.92263924,32092.00378838,,9466.2182654,0.00145401,8659.7438014,119900.3651039,92241.83680594,154832.74554185,143693.38073905,207.83244728,20201.64232149,59977.82999722,62628.5945464
2019-01-29T00:00:00Z,231188.51479088,349903.97570454,46438.28551361,245337.46303613,171899.17096509,137323.3338687,4.73600606,899039.22757835,31951.99026955,,9498.75808159,0.00145401,8830.91765382,119774.68472596,93447.71349105,155057.64411238,142763.91015523,141.02892691,20372.91212974,59987.24307115,62474.32722071
2019-01-30T00:00:00Z,230517.46537712,350124.24258337,46517.90050623,245906.5302314,171296.89656447,137066.79161061,6.15277084,883973.59409282,31937.71265413,,9516.0289483,0.00145401,8945.81095972,119463.96252937,94315.13034532,154816.18653697,143004.3447093,80.78001183,20387.12841622,60054.3033669,62181.36171461
2019-01-31T00:00:00Z,230911.36366227,349643.7642063,46061.87737815,246167.79146424,170855.68485811,136609.59921321,12.16555936,895117.64405533,31889.40983952,,9569.29951009,0.00145401,8894.88208357,119669.32153194,93232.28599435,155205.57125972,144808.56017915,129.08476843,20476.86479202,59865.114453,62474.2994157
2019-02-01T00:00:00Z,233142.9669956,348443.87249385,46037.29445939,247186.09515966,170871.04204696,136680.21225944,19.21270976,895512.51852073,31872.83515266,,9537.2566837,0.00145401,8834.53091094,118466.58489658,92704.40385698,156123.2356671,144000.56483404,187.56468881,20408.14741444,60714.22214654,63201.77685563
2019-02-02T00:00:00Z,233584.58427815,344954.52279193,45893.1219272,246159.76830213,171739.06399103,135920.82601865,21.18332052,895638.62320741,31886.38840501,,9535.68459587,0.00145401,8968.86582919,118394.78828511,92551.24242996,155564.21533959,143810.89947769,177.8569899,20412.3266771,60002.87046036,63483.88850475
2019-02-03T00:00:00Z,234137.49257709,342954.51979555,45782.4263362,248166.71986748,171969.2469086,135676.3802687,22.31046851,895250.599617,32659.09987226,,9590.54874887,0.00145401,9951.65866945,118276.37843986,91753.70665721,155897.93874657,144287.19824294,168.74935644,20403.62372041,59837.42159737,63431.97491861
2019-02-04T00:00:00Z,236189.8991546,340474.85415267,45833.01659512,248090.10505061,170629.17551548,135498.06404634,24.74122314,895636.39864121,33432.05113489,,9694.47528577,0.00145401,10441.14396475,117841.43946594,91540.17228513,156466.69158769,143599.68388354,161.88190459,20454.36321363,59713.26320167,64052.34768536
2019-02-05T00:00:00Z,237093.35903909,341143.61940135,45628.31554595,245427.20734891,170680.43167178,134776.35346347,25.63572637,895486.08616606,33150.99384638,,9701.77739709,0.00145401,10479.33640474,118638.28350055,91039.87374928,157069.15201543,143100.32196141,157.78362401,20434.54480846,60388.06205853,64184.26331783
2019-02-06T00:00:00Z,235360.62546509,340691.02365032,45566.0858583,246168.12389002,169487.25521156,134698.97223511,26.89990973,895179.2220681,32871.3749543,,9695.39497945,0.00145401,10689.80832535,118879.59753369,92136.14578317,159488.09516211,143685.21947834,178.74918102,20335.49407929,60972.94618014,64003.4458421
2019-02-07T00:00:00Z,235964.33699163,348124.2115486,45870.37856171,246389.85356167,169848.33395758,134571.22754466,27.31785463,895630.38918396,32252.46154551,,9726.86021871,0.00145401,11805.42915481,119093.63018465,91942.06196341,158833.72830648,144335.42845031,127.0778187,20167.21631097,60975.72974343,64153.10319678
2019-02-08T00:00:00Z,236558.32967657,343591.28356557,45539.19531871,250491.79040672,171499.17585972,134311.0506367,28.97959302,895872.3978287,32027.81548841,,9875.22862331,0.00145401,11832.69262926,120831.56818826,91329.26022977,159253.30290492,145196.22023123,93.46162133,20098.46698268,62173.00750665,65288.13032845
2019-02-09T00:00:00Z,235502.51511166,343685.72740535,45811.85170989,250046.4528538,172197.04318377,134451.20398456,29.88174613,895484.4920957,31808.85133246,,9903.06841377,0.00145401,11792.40396453,122837.98366368,91430.88239593,158171.3788663,145808.48050524,104.35603985,20008.37161401,63066.4191033,65259.79156348
2019-02-10T00:00:00Z,237526.631825,341384.88462939,45386.95727023,250060.14693425,173057.02829176,134910.75736485,31.22088456,895982.78188231,31671.93248307,,9971.67634006,0.00145401,11909.77765813,121763.76546023,90653.6264681,158026.78489186,146361.48355914,95.61141297,19924.6048491,63058.0744012,65286.86025802
2019-02-11T00:00:00Z,237955.9636281,338412.3480934,44937.94460143,250842.96010654,172738.7248392,134668.60056048,33.42536062,895626.46829777,31610.09511609,,10012.63022927,0.00145401,12031.23088636,121462.33805042,90524.47397049,158852.23111079,146579.19259757,73.12502724,20056.50487104,61729.73227841,65242.73020331
2019-02-12T00:00:00Z,238502.22013844,337817.42496035,45629.08699708,250748.36193702,173846.36015095,134623.04433779,30.04255947,895501.25672224,31467.93642075,,10069.6596969,0.00145401,12373.23964589,120312.01533338,91891.9958225,158347.54911922,146166.92787871,60.52973659,19982.82462967,62638.57558496,66368.42791414
